Iteration,gradnorm,objective,time,two_loop_time,grad_time
94,23076.314579,20840.028797,0.001572,0.000000,0.000008
95,8112.655665,20828.130947,0.001592,0.000001,0.000008
96,7800.565865,20825.484028,0.001612,0.000001,0.000008
97,10630.169955,20777.116155,0.001633,0.000000,0.000008
98,12784.224185,20747.397350,0.001651,0.000000,0.000008
99,266009.254425,21168.562380,0.001671,0.000001,0.000008
100,11864.951787,20714.568783,0.001691,0.000000,0.000008
101,6339.682138,20710.212030,0.001715,0.000000,0.000009
102,4465.640555,20706.938374,0.001735,0.000000,0.000008
103,5506.447927,20704.528568,0.001755,0.000001,0.000007
104,17257.246212,20678.125396,0.001773,0.000000,0.000007
105,27168.257879,20639.591378,0.001792,0.000000,0.000008
106,38207.598584,20561.550286,0.001812,0.000000,0.000008
107,236346.217916,20895.621473,0.001832,0.000000,0.000008
108,25604.810118,20475.728522,0.001852,0.000001,0.000009
109,19839.364557,20449.443956,0.001869,0.000001,0.000007
110,10179.757532,20402.408791,0.001886,0.000001,0.000006
111,12047.052501,20362.966886,0.001911,0.000001,0.000014
112,31914.568961,20160.440624,0.002053,0.000004,0.000055
113,25900.455477,19981.522286,0.002069,0.000000,0.000007
114,1270014.804241,30325.282730,0.002085,0.000000,0.000007
115,19991.242848,19857.140016,0.002101,0.000000,0.000007
116,11734.918429,19841.609519,0.002117,0.000000,0.000006
117,5610.536780,19829.609929,0.002134,0.000001,0.000006
118,4232.818783,19822.719876,0.002150,0.000000,0.000007
119,3486.657753,19793.704466,0.002168,0.000000,0.000006
120,34184.865084,19728.241464,0.002183,0.000001,0.000006
121,440936.988192,20843.730855,0.002198,0.000000,0.000006
122,24496.576859,19611.722865,0.002213,0.000000,0.000006
123,10873.692883,19543.971459,0.002228,0.000000,0.000006
124,14933.774567,19341.242295,0.002242,0.000000,0.000006
125,23085.546852,19330.994036,0.002257,0.000001,0.000006
126,6031.612927,19297.265211,0.002272,0.000000,0.000006
127,10613.926570,19287.603299,0.002287,0.000000,0.000007
128,10214.887849,19264.759883,0.002302,0.000000,0.000006
129,319685.249796,19802.630052,0.002317,0.000000,0.000006
130,34883.278780,19207.636487,0.002332,0.000000,0.000007
131,23221.869396,19176.317397,0.002346,0.000000,0.000006
132,24061.341308,19026.001667,0.002361,0.000001,0.000006
133,20449.609854,18993.244485,0.002376,0.000001,0.000006
134,21965.766364,19009.287101,0.002391,0.000000,0.000007
135,268052.868667,21321.950859,0.002406,0.000000,0.000007
136,84928.231466,18960.540251,0.002421,0.000000,0.000006
137,112602.854219,19013.864027,0.002436,0.000001,0.000006
138,6880.502822,18905.794575,0.002451,0.000001,0.000006
139,7326.249625,18904.740622,0.002466,0.000001,0.000006
140,18033.558134,18886.418437,0.002481,0.000001,0.000006
141,12358.004596,18880.026619,0.002497,0.000000,0.000006
142,3336.511096,18875.581276,0.002513,0.000000,0.000006
143,8627.021896,18872.336856,0.002527,0.000000,0.000006
144,14332.224599,18867.751667,0.002543,0.000000,0.000006
145,11386.323146,18861.859765,0.002559,0.000000,0.000006
146,72462.490621,18902.107713,0.002575,0.000000,0.000006
147,8738.736387,18855.944722,0.002590,0.000000,0.000007
148,4791.564141,18854.790194,0.002605,0.000001,0.000006
149,5892.978592,18853.505354,0.002620,0.000001,0.000006
150,8178.326691,18852.319812,0.002635,0.000000,0.000006
151,13856.558880,18847.017614,0.002650,0.000000,0.000006
152,15364.958191,18840.859720,0.002665,0.000001,0.000006
153,39821.199929,18824.740924,0.002681,0.000000,0.000007
154,21902.777278,18795.348910,0.002696,0.000000,0.000006
155,16277.498284,18748.696336,0.002711,0.000001,0.000006
156,22544.249499,18675.401895,0.002730,0.000000,0.000007
157,20942.181185,18618.795594,0.002748,0.000000,0.000006
158,8471.382763,18586.818433,0.002763,0.000000,0.000006
159,4478.290787,18581.499421,0.002777,0.000001,0.000006
160,6266.894525,18578.911063,0.002792,0.000000,0.000006
161,4734.895649,18570.850906,0.002807,0.000000,0.000007
162,8174.488562,18546.436942,0.002822,0.000000,0.000006
163,34065.558649,18484.774218,0.002836,0.000001,0.000006
164,13611.648947,18382.988484,0.002853,0.000001,0.000007
165,45785.124908,18279.692427,0.002869,0.000000,0.000007
166,20499.488267,18228.934004,0.002886,0.000000,0.000006
167,8305.393053,18214.731721,0.002902,0.000001,0.000007
168,7370.185400,18208.251923,0.002918,0.000000,0.000007
169,12521.063582,18190.253606,0.002935,0.000001,0.000007
170,21861.295138,18146.680158,0.002952,0.000001,0.000006
171,49914.224415,18059.315730,0.002967,0.000001,0.000006
172,15296.507322,17886.178112,0.002989,0.000000,0.000006
173,321496.492090,18220.071026,0.003004,0.000000,0.000005
174,69428.415472,17586.010230,0.003019,0.000000,0.000006
175,21972.439275,17489.248641,0.003034,0.000000,0.000005
176,20856.265999,17419.089589,0.003048,0.000000,0.000006
177,14015.728382,17395.996439,0.003063,0.000000,0.000006
178,35561.736663,17318.966070,0.003078,0.000000,0.000006
179,62700.011677,17242.257115,0.003093,0.000001,0.000006
180,63257.175454,17051.115667,0.003108,0.000001,0.000006
181,377024.451367,17780.051880,0.003124,0.000000,0.000006
182,58113.708270,16810.240146,0.003139,0.000001,0.000006
183,23260.715539,16761.994192,0.003154,0.000001,0.000006
184,12135.745769,16733.223420,0.003169,0.000000,0.000006
185,12993.862623,16729.181192,0.003184,0.000000,0.000007
186,13920.320961,16739.069701,0.003199,0.000000,0.000006
187,7629.631409,16703.584097,0.003213,0.000000,0.000006
188,177281.418793,16896.461069,0.003228,0.000001,0.000006
189,14670.569252,16694.796886,0.003248,0.000001,0.000008
190,12665.470082,16691.382790,0.003263,0.000000,0.000007
191,24329.104741,16660.618902,0.003278,0.000000,0.000006
192,34575.389564,16629.040904,0.003292,0.000001,0.000006
193,51884.362126,16506.900257,0.003307,0.000001,0.000006
194,35244.701767,16422.499102,0.003322,0.000000,0.000006
195,44257.673257,16392.492859,0.003337,0.000000,0.000006
196,21003.691903,16370.763694,0.003351,0.000001,0.000006
197,18988.932890,16357.396141,0.003367,0.000000,0.000006
198,24768.829200,16290.405734,0.003382,0.000001,0.000006
199,44063.546593,16177.975890,0.003397,0.000001,0.000006
200,63945.940352,15985.026933,0.003414,0.000001,0.000007
201,181158.588377,16170.961314,0.003428,0.000000,0.000006
202,11791.226906,15856.716596,0.003443,0.000001,0.000006
203,7099.636857,15846.609753,0.003458,0.000000,0.000007
204,3976.225952,15842.045503,0.003473,0.000001,0.000006
205,10344.458889,15833.905230,0.003489,0.000001,0.000006
206,21161.811606,15818.527928,0.003505,0.000000,0.000007
207,37346.793003,15777.350872,0.003520,0.000000,0.000006
208,49654.379534,15689.558198,0.003534,0.000000,0.000006
209,404767.835151,16324.055698,0.003550,0.000000,0.000006
210,88232.549041,15493.508818,0.003564,0.000000,0.000006
211,58069.750220,15391.085008,0.003579,0.000001,0.000006
212,22472.849741,15175.504271,0.003594,0.000001,0.000006
213,17398.213046,15151.453054,0.003610,0.000000,0.000006
214,33226.445765,15128.086971,0.003625,0.000000,0.000007
215,54260.896405,15083.803208,0.003639,0.000000,0.000006
216,54492.684236,15004.937179,0.003655,0.000000,0.000007
217,42386.710437,14938.872965,0.003672,0.000000,0.000006
218,25577.112090,14878.587506,0.003687,0.000000,0.000006
219,11761.646646,14817.672562,0.003703,0.000000,0.000006
220,31996.988148,14807.456583,0.003718,0.000000,0.000007
221,11029.885720,14775.971243,0.003733,0.000001,0.000006
222,11186.145806,14765.118148,0.003749,0.000001,0.000006
223,105704.527001,14748.543786,0.003765,0.000000,0.000007
224,56023.200746,14684.955369,0.003780,0.000000,0.000006
225,13488.211165,14608.128074,0.003796,0.000000,0.000006
226,40407.438376,14482.717371,0.003810,0.000000,0.000006
227,64054.603204,14339.173827,0.003826,0.000000,0.000006
228,48820.969010,14266.731057,0.003840,0.000000,0.000006
229,46987.944906,14276.371425,0.003855,0.000001,0.000006
230,12410.827641,14207.045583,0.003871,0.000000,0.000006
231,7798.516251,14177.981449,0.003887,0.000000,0.000006
232,14559.971706,14084.903919,0.003902,0.000001,0.000006
233,540946.023376,16914.626286,0.003917,0.000000,0.000007
234,34181.019003,13993.366825,0.003932,0.000000,0.000007
235,19512.880618,13963.145125,0.003947,0.000001,0.000006
236,11711.933115,13918.248803,0.003962,0.000000,0.000005
237,12192.951781,13904.831647,0.003976,0.000000,0.000006
238,8347.154592,13901.788942,0.003991,0.000001,0.000006
239,6742.444255,13898.151440,0.004006,0.000001,0.000005
240,132932.227921,13999.469101,0.004021,0.000001,0.000006
241,14941.873475,13889.205081,0.004036,0.000001,0.000005
242,11292.539883,13883.728456,0.004050,0.000000,0.000006
243,44392.568286,13793.621629,0.004066,0.000000,0.000006
244,45300.008434,13766.100645,0.004080,0.000001,0.000006
245,381815.448370,16318.584338,0.004095,0.000001,0.000006
246,47358.802569,13581.764736,0.004110,0.000000,0.000006
247,12666.369724,13559.429696,0.004125,0.000000,0.000006
248,12485.009931,13551.187103,0.004141,0.000001,0.000006
249,20072.890405,13544.746384,0.004157,0.000000,0.000006
250,20331.188129,13536.314045,0.004172,0.000000,0.000006
251,15248.688647,13526.455415,0.004186,0.000000,0.000006
252,9114.507097,13514.818683,0.004201,0.000001,0.000006
253,6898.912421,13511.714828,0.004216,0.000000,0.000007
254,8685.347513,13508.489806,0.004231,0.000001,0.000006
255,72348.345222,13543.370924,0.004249,0.000000,0.000007
256,6612.935748,13503.298139,0.004266,0.000000,0.000006
257,4430.377020,13501.191487,0.004282,0.000000,0.000006
258,4752.322081,13493.014548,0.004296,0.000000,0.000006
259,2255.076395,13492.159671,0.004311,0.000001,0.000006
260,6181.080201,13490.500697,0.004326,0.000000,0.000006
261,9358.437208,13489.236114,0.004341,0.000000,0.000007
262,3159.902787,13486.893226,0.004356,0.000000,0.000006
263,7554.262784,13485.298356,0.004371,0.000000,0.000007
264,4322.625756,13482.912414,0.004387,0.000000,0.000007
265,2467.172503,13480.543545,0.004404,0.000000,0.000007
266,3964.177724,13480.297307,0.004422,0.000000,0.000007
267,1593.940988,13480.104275,0.004440,0.000000,0.000007
268,1621.061174,13479.975129,0.004459,0.000001,0.000008
269,4439.985158,13479.575182,0.004476,0.000001,0.000007
270,6922.826585,13478.986167,0.004491,0.000000,0.000006
271,7115.804443,13477.963804,0.004508,0.000000,0.000006
272,37391.897494,13492.120550,0.004524,0.000000,0.000006
273,5589.664430,13476.602481,0.004542,0.000001,0.000007
274,2481.311634,13476.283177,0.004558,0.000000,0.000006
275,2538.021066,13476.059243,0.004575,0.000001,0.000006
276,3476.027848,13475.911299,0.004592,0.000001,0.000007
277,6430.049382,13475.214154,0.004607,0.000000,0.000006
278,7102.558564,13474.515282,0.004624,0.000000,0.000007
279,5713.304333,13472.456324,0.004641,0.000001,0.000007
280,25035.360585,13469.955511,0.004658,0.000000,0.000007
281,11234.310136,13462.256015,0.004676,0.000001,0.000007
282,12298.340952,13449.798175,0.004695,0.000000,0.000008
283,12477.066307,13442.460200,0.004716,0.000001,0.000007
284,4805.283486,13440.104274,0.004733,0.000000,0.000007
285,7423.618831,13440.087144,0.004751,0.000000,0.000006
286,2680.792195,13439.469040,0.004767,0.000000,0.000007
287,1703.339940,13439.242454,0.004783,0.000000,0.000007
288,5564.225130,13437.492678,0.004800,0.000001,0.000007
289,7398.555013,13436.182057,0.004817,0.000001,0.000006
290,6313.583830,13435.944342,0.004834,0.000001,0.000007
291,1798.717614,13434.040992,0.004852,0.000000,0.000007
292,1935.402834,13433.255449,0.004869,0.000000,0.000007
293,17782.143554,13433.231947,0.004885,0.000000,0.000007
294,2083.614235,13430.727146,0.004901,0.000000,0.000006
295,1108.808025,13430.568548,0.004918,0.000000,0.000007
296,2379.094754,13430.409863,0.004934,0.000000,0.000007
297,3538.468543,13430.196986,0.004950,0.000001,0.000006
298,6405.699807,13429.407142,0.004967,0.000000,0.000007
299,10303.287408,13427.455596,0.004996,0.000000,0.000018
300,9569.150307,13422.666112,0.005012,0.000000,0.000006
301,262739.449980,13841.007120,0.005028,0.000001,0.000006
302,21608.016439,13411.942468,0.005043,0.000000,0.000006
303,17867.127428,13405.552205,0.005060,0.000001,0.000006
304,20904.977605,13360.728158,0.005077,0.000001,0.000007
305,23207.728236,13337.235034,0.005094,0.000001,0.000007
306,10759.420022,13302.351038,0.005118,0.000001,0.000013
307,6836.187089,13297.878691,0.005135,0.000000,0.000006
308,19064.052027,13273.323054,0.005152,0.000000,0.000005
309,23700.113851,13251.215986,0.005167,0.000000,0.000006
310,139161.778288,13339.637116,0.005184,0.000000,0.000007
311,23290.910491,13218.546158,0.005200,0.000000,0.000006
312,10013.642253,13212.556303,0.005216,0.000000,0.000006
313,4007.628095,13209.149527,0.005232,0.000001,0.000006
314,4529.968282,13208.466310,0.005251,0.000001,0.000007
315,11169.815150,13195.709290,0.005268,0.000001,0.000006
316,9911.392150,13189.604191,0.005284,0.000000,0.000007
317,60793.103580,13215.812923,0.005299,0.000000,0.000006
318,4112.945034,13186.227405,0.005315,0.000000,0.000006
319,4415.217500,13185.561492,0.005331,0.000000,0.000007
