Iteration,t_k,gradnorm,objective,time
379,0.000000,11.392456,4.358174,1.207863
380,0.000000,0.362072,4.357660,1.211041
381,0.000000,0.319505,4.357652,1.214145
382,0.000000,0.389533,4.357526,1.217288
383,0.000000,0.547498,4.357436,1.220466
384,0.000000,0.869819,4.357166,1.223637
385,0.000000,0.865500,4.356674,1.226737
386,0.000000,768.954100,7.321843,1.229880
387,0.000000,0.349226,4.356379,1.232975
388,0.000000,0.247402,4.356380,1.236141
389,0.000000,0.138937,4.356377,1.239221
390,0.000000,0.184523,4.356369,1.242440
391,0.000000,0.439767,4.356325,1.245545
392,0.000000,0.809563,4.356211,1.248676
393,0.000000,0.792149,4.355910,1.251709
394,0.000000,1123.733886,9.773609,1.254816
395,0.000000,1.527891,4.355349,1.258205
396,0.000000,1.300238,4.355183,1.261483
397,0.000000,0.147063,4.354260,1.264539
398,0.000000,0.153776,4.354237,1.267645
399,0.000000,0.601183,4.352499,1.270684
400,0.000000,0.383640,4.351946,1.273795
401,0.000000,2.188662,4.351819,1.276813
402,0.000000,0.432110,4.351623,1.279851
403,0.000000,0.188135,4.351783,1.282880
404,0.000000,0.119164,4.351908,1.286062
405,0.000000,0.166338,4.352028,1.289163
406,0.000000,0.225495,4.352399,1.292251
407,0.000000,0.728043,4.351922,1.295346
408,0.000000,3.487409,4.349590,1.298558
409,0.000000,0.235753,4.349346,1.301592
410,0.000000,0.338584,4.349193,1.304678
411,0.000000,0.407505,4.348406,1.307696
412,0.000000,3.318498,4.352669,1.310798
413,0.000000,0.523221,4.347394,1.313912
414,0.000000,2.116033,4.347103,1.317043
415,0.000000,1.200666,4.346863,1.320180
416,0.000000,0.206648,4.346082,1.323278
417,0.000000,0.481043,4.345874,1.326357
418,0.000000,0.336189,4.345808,1.329474
419,0.000000,0.098726,4.345815,1.332529
420,0.000000,0.233741,4.345833,1.335641
421,0.000000,0.313306,4.345842,1.338697
422,0.000000,7.060425,4.345931,1.341775
423,0.000000,0.749976,4.345856,1.344836
424,0.000000,0.577262,4.345841,1.347929
425,0.000000,0.156349,4.345763,1.351011
426,0.000000,0.364062,4.345756,1.354205
427,0.000000,0.949866,4.345757,1.357223
428,0.000000,0.991888,4.345770,1.360270
429,0.000000,57.787680,4.359491,1.363332
430,0.000000,0.305188,4.345798,1.366456
431,0.000000,0.299967,4.345797,1.369516
432,0.000000,0.099319,4.345745,1.372607
433,0.000000,0.279012,4.345793,1.375663
434,0.000000,0.093723,4.345770,1.378817
435,0.000000,0.380366,4.345742,1.381874
436,0.000000,0.117307,4.345748,1.385048
437,0.000000,23.783786,4.348738,1.389856
438,0.000000,0.526277,4.345819,1.393247
439,0.000000,0.304709,4.345840,1.396352
440,0.000000,0.087033,4.345888,1.399430
441,0.000000,0.088519,4.345891,1.402577
442,0.000000,0.418532,4.346038,1.405703
443,0.000000,0.494922,4.346155,1.408715
444,0.000000,11.010138,4.346614,1.411773
445,0.000000,0.578737,4.346242,1.414831
446,0.000000,0.336672,4.346225,1.417972
447,0.000000,0.184707,4.346207,1.421002
448,0.000000,0.294581,4.346226,1.424074
449,0.000000,0.424312,4.346356,1.427117
450,0.000000,1.189031,4.346382,1.430269
451,0.000000,1.714036,4.346511,1.433474
452,0.000000,0.107525,4.346419,1.436572
453,0.000000,0.085839,4.346419,1.439666
454,0.000000,0.098011,4.346422,1.442853
455,0.000000,0.167783,4.346433,1.445875
456,0.000000,0.189437,4.346449,1.448917
457,0.000000,0.120186,4.346590,1.451953
458,0.000000,2.791671,4.346704,1.455021
459,0.000000,0.133276,4.346585,1.458041
460,0.000000,0.097741,4.346584,1.461103
461,0.000000,0.221321,4.346583,1.464139
462,0.000000,0.335946,4.346583,1.467265
463,0.000000,0.589584,4.346576,1.470371
464,0.000000,0.594347,4.346558,1.473482
465,0.000000,22.901894,4.349125,1.476559
466,0.000000,0.651399,4.346535,1.479655
467,0.000000,0.471478,4.346530,1.482725
468,0.000000,0.092062,4.346525,1.485835
469,0.000000,0.112131,4.346526,1.488930
470,0.000000,0.253266,4.346529,1.492032
471,0.000000,0.478812,4.346539,1.495098
472,0.000000,0.889512,4.346566,1.498206
473,0.000000,0.227963,4.346627,1.501264
474,0.000000,2.241840,4.346750,1.504380
475,0.000000,0.668181,4.346692,1.507628
476,0.000000,0.078250,4.346688,1.510780
477,0.000000,0.084637,4.346696,1.513890
