Iteration,t_k,gradnorm,objective,time,two_loop_time,grad_time
150,0.000000,1255.948748,698.633919,6786.000000,0.000000,19.000000
151,0.000000,173.107084,698.229848,6832.000000,0.000000,18.000000
152,0.000000,171.871181,698.099124,6877.000000,1.000000,18.000000
153,0.000000,195.401968,698.028876,6923.000000,1.000000,18.000000
154,0.000000,465.360602,698.186997,6971.000000,0.000000,18.000000
155,0.000000,2892.598277,700.506842,7017.000000,0.000000,18.000000
156,0.000000,291.279714,697.671200,7061.000000,0.000000,18.000000
157,0.000000,99.348808,697.644121,7106.000000,0.000000,19.000000
158,0.000000,121.532926,697.635610,7155.000000,1.000000,18.000000
159,0.000000,185.040456,697.608873,7201.000000,1.000000,18.000000
160,0.000000,251.941457,697.536170,7250.000000,0.000000,18.000000
161,0.000000,308.320374,697.325421,7294.000000,0.000000,18.000000
162,0.000000,1539.779376,697.973849,7339.000000,0.000000,18.000000
163,0.000000,937.271575,696.308277,7381.000000,0.000000,18.000000
164,0.000000,706.556106,695.654658,7427.000000,1.000000,18.000000
165,0.000000,2533.863152,695.686111,7472.000000,0.000000,18.000000
166,0.000000,80.346574,693.797401,7518.000000,0.000000,17.000000
167,0.000000,71.807075,693.758586,7563.000000,1.000000,18.000000
168,0.000000,41.704411,693.691961,7609.000000,0.000000,18.000000
169,0.000000,2231.727673,695.680947,7651.000000,0.000000,18.000000
170,0.000000,42.996707,693.686772,7695.000000,0.000000,18.000000
171,0.000000,41.876784,693.685287,7740.000000,1.000000,18.000000
172,0.000000,449.736688,693.659870,7785.000000,0.000000,18.000000
173,0.000000,288.228863,693.625916,7831.000000,0.000000,18.000000
174,0.000000,51.009661,693.588611,7877.000000,0.000000,18.000000
175,0.000000,47.797999,693.585786,7922.000000,1.000000,18.000000
176,0.000000,83.319314,693.537031,7968.000000,0.000000,18.000000
177,0.000000,233.564921,693.532468,8012.000000,1.000000,17.000000
178,0.000000,72.488667,693.512388,8056.000000,0.000000,17.000000
179,0.000000,144.730419,693.498576,8102.000000,1.000000,18.000000
180,0.000000,278.640811,693.480674,8147.000000,0.000000,18.000000
181,0.000000,489.957801,693.432005,8193.000000,1.000000,18.000000
182,0.000000,690.113546,693.333213,8235.000000,1.000000,18.000000
183,0.000000,642.782020,693.199510,8280.000000,1.000000,18.000000
184,0.000000,807.762144,693.282426,8327.000000,0.000000,18.000000
185,0.000000,72.581222,693.106701,8369.000000,1.000000,18.000000
186,0.000000,66.158964,693.105075,8415.000000,0.000000,18.000000
187,0.000000,45.089365,693.092946,8461.000000,0.000000,19.000000
188,0.000000,71.575519,693.081948,8509.000000,0.000000,19.000000
189,0.000000,104.502666,693.057911,8555.000000,1.000000,18.000000
190,0.000000,110.946543,693.016405,8601.000000,0.000000,18.000000
191,0.000000,2157.168749,693.679482,8647.000000,0.000000,19.000000
192,0.000000,198.407761,692.937412,8692.000000,0.000000,17.000000
193,0.000000,118.871453,692.908867,8734.000000,0.000000,18.000000
194,0.000000,104.312932,692.856373,8777.000000,0.000000,18.000000
195,0.000000,128.608247,692.827271,8825.000000,0.000000,18.000000
196,0.000000,337.498015,692.472453,8872.000000,0.000000,18.000000
197,0.000000,302.208090,692.343956,8917.000000,1.000000,18.000000
198,0.000000,4228.312252,695.949601,8979.000000,0.000000,26.000000
199,0.000000,198.710369,692.207213,9046.000000,1.000000,26.000000
200,0.000000,204.060792,692.167994,9115.000000,0.000000,29.000000
201,0.000000,1090.871085,692.541275,9187.000000,1.000000,27.000000
202,0.000000,59.178151,691.673329,9257.000000,0.000000,28.000000
203,0.000000,56.334456,691.668007,9325.000000,1.000000,26.000000
204,0.000000,101.548752,691.602813,9393.000000,0.000000,26.000000
205,0.000000,821.060033,691.630798,9458.000000,1.000000,27.000000
206,0.000000,159.612537,691.328174,9525.000000,1.000000,26.000000
207,0.000000,346.339185,691.169942,9604.000000,0.000000,26.000000
208,0.000000,526.803496,690.910563,9672.000000,1.000000,26.000000
209,0.000000,185.125906,690.723183,9739.000000,1.000000,27.000000
210,0.000000,213.626992,690.395544,9806.000000,1.000000,27.000000
211,0.000000,4410.245683,704.271508,9873.000000,0.000000,27.000000
212,0.000000,322.041465,689.567338,9940.000000,0.000000,26.000000
213,0.000000,403.584818,689.345537,10005.000000,0.000000,26.000000
214,0.000000,177.457366,689.148739,10079.000000,0.000000,35.000000
215,0.000000,77.986037,689.100325,10142.000000,1.000000,25.000000
216,0.000000,37.254720,689.096359,10206.000000,1.000000,25.000000
217,0.000000,39.355952,689.094256,10271.000000,1.000000,25.000000
218,0.000000,57.422552,689.053517,10335.000000,0.000000,25.000000
219,0.000000,5373.813486,694.437991,10399.000000,1.000000,25.000000
220,0.000000,263.654078,688.970032,10463.000000,0.000000,25.000000
221,0.000000,229.894505,688.915755,10527.000000,0.000000,26.000000
222,0.000000,117.609028,688.457219,10590.000000,1.000000,25.000000
223,0.000000,189.287778,688.484939,10654.000000,0.000000,24.000000
224,0.000000,71.678634,688.420315,10717.000000,1.000000,26.000000
225,0.000000,58.578308,688.393553,10781.000000,0.000000,26.000000
226,0.000000,167.247193,688.322837,10846.000000,1.000000,25.000000
227,0.000000,803.349995,688.455387,10910.000000,1.000000,26.000000
228,0.000000,52.991196,688.301976,10972.000000,0.000000,24.000000
229,0.000000,49.945022,688.297586,11035.000000,1.000000,25.000000
230,0.000000,265.158410,688.311166,11098.000000,1.000000,25.000000
231,0.000000,39.849171,688.262571,11162.000000,1.000000,24.000000
